Student Name,Attendance %,Internal Marks,Final Marks,Assignment Scores,Extra Activities,Family Income,Internet Access,Study Hours,Placement Status,Average Score,Risk Category,Performance_Level
Kimberly Flores,80.0,74,69,74,Sports,48530.0,Yes,6.3,Placed,72.33333333333333,safe,Good
George Williams,79.0,46,60,65,Music,92980.0,No,4.3,Placed,57.0,Need Improvement,Average
Paul Nguyen,96.9,70,94,88,Sports,81558.0,Yes,6.7,Placed,84.0,safe,Good
Laura Moore,90.2,52,57,80,Sports,71822.0,Yes,4.4,Not Placed,63.0,safe,Average
Angela Harris,80.0,67,80,76,Sports,10745.0,Yes,4.6,Placed,74.33333333333333,safe,Good
Ronald Nguyen,87.6,86,90,100,Sports,76677.0,Yes,9.2,Placed,92.0,safe,Excellent
Joshua Young,72.2,66,77,82,Music,32953.0,Yes,5.2,Placed,75.0,safe,Good
Kenneth Williams,94.4,52,58,80,Sports,92679.0,No,6.3,Not Placed,63.333333333333336,safe,Average
Linda Sanchez,88.4,56,60,77,Sports,19324.0,No,5.1,Placed,64.33333333333333,safe,Average
Laura Garcia,83.9,59,87,75,Volunteer,52233.0,No,4.8,Placed,73.66666666666667,safe,Good
Mary Harris,83.3,57,76,56,Debate,80138.0,Yes,3.8,Placed,63.0,safe,Average
Kevin Jackson,96.8,88,92,85,Music,38617.0,Yes,7.6,Placed,88.33333333333333,safe,Excellent
Joshua Jones,72.3,62,66,75,Debate,8000.0,Yes,6.2,Placed,67.66666666666667,safe,Average
David Taylor,100.0,79,88,86,Sports,63635.0,Yes,6.4,Placed,84.33333333333333,safe,Good
Patricia Lewis,83.1,70,87,89,Debate,114916.0,No,7.4,Placed,82.0,safe,Good
William Garcia,79.8,56,47,54,NCC,93112.0,Yes,3.8,Not Placed,52.333333333333336,Need Improvement,Average
Carol Hernandez,75.0,39,55,64,Sports,88875.0,No,4.1,Not Placed,52.666666666666664,Need Improvement,Average
William Lopez,86.7,36,50,49,NCC,68739.0,Yes,2.0,Not Placed,45.0,Need Improvement,Poor
Carol Scott,75.2,57,54,49,Sports,8000.0,No,5.3,Not Placed,53.333333333333336,Need Improvement,Average
Carol Nguyen,91.5,48,46,65,Sports,25463.0,No,3.9,Not Placed,53.0,Need Improvement,Average
Andrew Martin,87.9,77,79,68,Volunteer,99605.0,Yes,6.1,Placed,74.66666666666667,safe,Good
Edward Brown,78.7,54,54,78,Sports,79686.0,Yes,5.1,Not Placed,62.0,safe,Average
Emily Thomas,95.8,68,74,76,Sports,92512.0,No,6.1,Placed,72.66666666666667,safe,Good
Kenneth Lopez,82.5,61,77,93,Debate,30926.0,No,5.7,Placed,77.0,safe,Good
Jennifer Lee,100.0,72,77,71,Debate,81456.0,No,5.8,Placed,73.33333333333333,safe,Good
Brian Anderson,74.0,64,79,90,Sports,64702.0,Yes,5.8,Placed,77.66666666666667,safe,Good
Betty Miller,79.2,62,63,55,Sports,82390.0,No,3.3,Placed,60.0,safe,Average
Deborah Gonzalez,89.1,60,67,76,Debate,77944.0,No,5.6,Placed,67.66666666666667,safe,Average
Steven Lee,73.3,49,62,72,Debate,58751.0,Yes,4.6,Placed,61.0,safe,Average
Jason Sanchez,100.0,56,70,56,Sports,77211.0,Yes,3.8,Placed,60.666666666666664,safe,Average
Daniel Young,57.2,47,60,56,Sports,64702.0,Yes,3.9,Placed,54.333333333333336,Need Improvement,Average
Kimberly Lewis,72.0,72,72,79,Volunteer,57223.0,Yes,6.7,Placed,74.33333333333333,safe,Good
Betty Rodriguez,84.8,53,64,85,NCC,101822.0,No,5.2,Placed,67.33333333333333,safe,Average
Jessica Wright,80.6,55,49,64,Sports,47267.0,No,4.7,Not Placed,56.0,Need Improvement,Average
Paul Miller,79.1,63,0,83,Sports,70545.0,No,5.5,Placed,48.666666666666664,Need Improvement,Poor
Elizabeth Perez,82.8,59,66,90,Music,48371.0,Yes,6.3,Placed,71.66666666666667,safe,Good
Paul Thompson,74.0,60,0,90,Music,96199.0,Yes,6.7,Not Placed,50.0,Need Improvement,Average
Joshua Hernandez,98.2,80,73,76,Sports,58931.0,Yes,5.7,Placed,76.33333333333333,safe,Good
Karen Jackson,88.1,79,69,82,Sports,71796.0,Yes,7.2,Placed,76.66666666666667,safe,Good
Andrew Moore,82.5,55,57,73,Debate,8000.0,Yes,5.3,Not Placed,61.666666666666664,safe,Average
Jessica Wright,88.4,83,87,71,Sports,77446.0,No,7.1,Placed,80.33333333333333,safe,Good
Emma Thompson,75.7,53,58,73,Sports,87734.0,Yes,5.5,Not Placed,61.333333333333336,safe,Average
Nicholas Hernandez,84.9,69,71,60,Sports,63649.0,Yes,5.3,Placed,66.66666666666667,safe,Average
James Wright,75.6,70,57,62,Volunteer,108761.0,Yes,6.7,Not Placed,63.0,safe,Average
Cynthia Perez,78.7,70,71,86,NCC,56154.0,Yes,6.5,Placed,75.66666666666667,safe,Good
George Williams,71.0,61,57,100,NCC,55323.0,No,9.0,Not Placed,72.66666666666667,safe,Good
Jacob Allen,86.8,81,69,88,Volunteer,83492.0,Yes,7.1,Placed,79.33333333333333,safe,Good
Kevin Flores,80.0,90,79,100,Sports,63128.0,No,8.4,Placed,89.66666666666667,safe,Excellent
James Gonzalez,78.7,57,59,48,NCC,44393.0,No,2.6,Not Placed,54.666666666666664,Need Improvement,Average
Edward Davis,80.0,84,84,98,Volunteer,82364.0,Yes,7.2,Placed,88.66666666666667,safe,Excellent
Matthew Lee,73.4,77,78,76,Debate,115297.0,Yes,5.1,Placed,77.0,safe,Good
Cynthia Lewis,70.4,76,80,86,Music,88830.0,Yes,7.5,Placed,80.66666666666667,safe,Good
Joshua Martinez,56.8,47,43,62,Sports,64702.0,Yes,5.3,Not Placed,50.666666666666664,Need Improvement,Average
Angela Clark,100.0,82,87,58,NCC,61116.0,Yes,6.6,Placed,75.66666666666667,safe,Good
Rebecca Miller,90.6,74,90,58,NCC,42223.0,Yes,6.2,Placed,74.0,safe,Good
Paul Lopez,80.0,66,80,68,Music,60126.0,Yes,5.9,Placed,71.33333333333333,safe,Good
Carol Walker,81.4,53,65,77,NCC,56638.0,Yes,5.9,Placed,65.0,safe,Average
Amanda Miller,73.0,65,68,75,Volunteer,75805.0,Yes,6.6,Placed,69.33333333333333,safe,Average
Mark Lopez,84.3,59,70,100,Sports,76742.0,No,7.6,Placed,76.33333333333333,safe,Good
Laura Robinson,93.8,62,59,83,Debate,69961.0,No,6.4,Not Placed,68.0,safe,Average
Robert Walker,80.0,98,88,100,Sports,88786.0,No,9.7,Placed,95.33333333333333,safe,Excellent
Joshua Allen,89.8,72,62,70,Music,128581.0,No,5.6,Placed,68.0,safe,Average
Karen Smith,86.0,33,54,69,Music,116672.0,No,4.0,Not Placed,52.0,Need Improvement,Average
David Lee,76.5,54,59,66,Sports,107606.0,No,3.8,Not Placed,59.666666666666664,Need Improvement,Average
Joshua Taylor,78.7,62,72,71,NCC,68823.0,Yes,6.2,Placed,68.33333333333333,safe,Average
Donald Allen,87.9,64,58,81,Debate,54787.0,Yes,5.9,Not Placed,67.66666666666667,safe,Average
James Walker,96.0,42,71,73,Sports,63332.0,No,3.3,Placed,62.0,safe,Average
Linda Hernandez,79.9,88,81,88,Sports,78297.0,Yes,7.4,Placed,85.66666666666667,safe,Excellent
Andrew Gonzalez,64.1,69,79,96,Music,37172.0,Yes,7.2,Placed,81.33333333333333,safe,Good
Edward Lopez,80.2,54,44,35,NCC,86952.0,Yes,2.8,Not Placed,44.333333333333336,Need Improvement,Poor
Sandra Wright,88.9,74,84,50,Sports,38812.0,Yes,4.5,Placed,69.33333333333333,safe,Average
Michael Garcia,95.5,54,60,60,Sports,39299.0,Yes,5.5,Placed,58.0,Need Improvement,Average
Kevin Lewis,79.3,83,97,100,NCC,49230.0,Yes,8.1,Placed,93.33333333333333,safe,Excellent
Ryan Davis,95.3,63,87,97,Music,57628.0,Yes,5.9,Placed,82.33333333333333,safe,Good
Mark Moore,68.3,55,58,58,Sports,72932.0,Yes,4.3,Not Placed,57.0,Need Improvement,Average
Thomas Smith,63.0,66,0,100,NCC,44916.0,No,8.6,Placed,55.333333333333336,Need Improvement,Average
Amy Scott,79.6,44,61,57,Sports,86166.0,Yes,3.1,Placed,54.0,Need Improvement,Average
Rebecca Thomas,80.0,41,64,84,Volunteer,53555.0,Yes,4.4,Placed,63.0,safe,Average
Patricia Gonzalez,72.7,79,83,100,Sports,36180.0,Yes,9.3,Placed,87.33333333333333,safe,Excellent
Jessica Garcia,86.9,72,65,78,Sports,24968.0,Yes,6.3,Placed,71.66666666666667,safe,Good
Matthew Miller,83.4,40,57,60,Sports,67395.0,Yes,3.0,Not Placed,52.333333333333336,Need Improvement,Average
Jacob Martinez,81.8,38,60,52,NCC,97412.0,Yes,2.4,Placed,50.0,Need Improvement,Average
James Thompson,80.0,44,56,54,Volunteer,44866.0,Yes,4.5,Not Placed,51.333333333333336,Need Improvement,Average
Kenneth Lewis,72.8,49,58,60,NCC,95265.0,No,4.7,Not Placed,55.666666666666664,Need Improvement,Average
